Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_000006945.2	ASM694v2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287		LT2					Annotation submitted by NCBI RefSeq	2	2	Complete Genome	13.01.2016		2
GCF_000195955.2	ASM19595v2	Mycobacterium tuberculosis H37Rv	83332		H37Rv					Annotation submitted by NCBI RefSeq	1	1	Complete Genome	01.02.2013		1
GCF_000009045.1	ASM904v1	Bacillus subtilis subsp. subtilis str. 168	224308		168					Annotation submitted by NCBI RefSeq	1	1	Complete Genome	12.08.2009		1
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii	470		ATCC 19606					GCF_009035845.1-RS_2025_03_30	3	3	Complete Genome	16.10.2019		3
GCF_000015785.2	ASM1578v2	Bacillus velezensis FZB42	326423		FZB42					GCF_000015785.2-RS_2025_04_02	1	1	Complete Genome	24.06.2019		1
GCF_001457635.1	NCTC7465	Streptococcus pneumoniae	1313		NCTC7465					GCF_001457635.1-RS_2024_10_11	1	1	Complete Genome	22.03.2015		1
GCF_000412675.1	ASM41267v1	Pseudomonas putida NBRC 14164	1211579		NBRC 14164					GCF_000412675.1-RS_2024_12_11	1	1	Complete Genome	14.06.2013		1
GCF_025998455.1	ASM2599845v1	Helicobacter pylori	210		CHC155					GCF_025998455.1-RS_2024_12_09	1	1	Complete Genome	20.10.2022		1
GCF_019048245.1	ASM1904824v1	Enterobacter hormaechei	158836		FDAARGOS 1433					GCF_019048245.1-RS_2025_03_31	3	3	Complete Genome	28.06.2021		3
GCF_900186865.1	49243_F02	Stenotrophomonas maltophilia	40324		NCTC10257					GCF_900186865.1-RS_2025_05_06	1	1	Complete Genome	15.08.2017		1
GCF_006094375.1	ASM609437v1	Staphylococcus epidermidis	1282		ATCC 14990					GCF_006094375.1-RS_2025_04_23	3	3	Complete Genome	06.06.2019		3
GCF_006094495.1	ASM609449v1	Priestia megaterium NBRC 15308 = ATCC 14581	1348623		ATCC 14581					GCF_006094495.1-RS_2025_05_17	7	7	Complete Genome	06.06.2019		7
GCF_000196555.1	ASM19655v1	Bifidobacterium longum subsp. longum JCM 1217	565042		JCM 1217					GCF_000196555.1-RS_2024_12_11	1	1	Complete Genome	28.01.2011		1
GCF_034478925.1	ASM3447892v1	Bacillus licheniformis	1402		ATCC 14580					GCF_034478925.1-RS_2025_03_02	1	1	Complete Genome	19.12.2023		1
GCF_019048645.1	ASM1904864v1	Streptococcus mutans	1309		FDAARGOS 1458					GCF_019048645.1-RS_2024_07_20	1	1	Complete Genome	28.06.2021		1
GCF_020525545.1	ASM2052554v1	Klebsiella variicola subsp. variicola	2590157		F2R9T					GCF_020525545.1-RS_2024_12_09	1	1	Complete Genome	19.10.2021		1
GCF_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae	1463165		FDAARGOS_1503					GCF_020099175.1-RS_2024_12_09	3	3	Complete Genome	23.09.2021		3
GCF_022869645.1	ASM2286964v1	Neisseria meningitidis	487		PartJ-Nmeningitidis-RM8376					GCF_022869645.1-RS_2025_04_26	1	1	Complete Genome	11.04.2022		1
GCF_000014805.1	ASM1480v1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703		ATCC 7966					GCF_000014805.1-RS_2024_12_11	1	1	Complete Genome	06.11.2006		1
GCF_016027375.1	ASM1602737v1	Clostridium perfringens	1502		FDAARGOS_903					GCF_016027375.1-RS_2024_10_16	2	2	Complete Genome	14.12.2020		2
GCF_000007125.1	ASM712v1	Brucella melitensis bv. 1 str. 16M	224914		16M					GCF_000007125.1-RS_2025_04_15	2	2	Complete Genome	28.12.2001		2
